"","YEAR","ID","RACE","SEX","AGE","SIBS","RES16","FAMILY16","BORN","PARBORN","REALRINC","INCOM16","PAEDUC","MAEDUC","PAPRES105PLUS","MAPRES105PLUS","REALINC","HOMPOP","FINRELA","PRESTG105PLUS","EDUC","RES161","COMTYPE","HPARPRES","HPAREDU","FEMALE","BOTHPAR","WHITE","RES16MID","FIPP","lnREALRINC","lnFIPP","RESNOWBIG"
"135",1984,263,1,2,72,9,2,1,2,8,3852,3,11,12,49,-1,4952,1,2,11,12,NA,NA,49,12,TRUE,1,1,0,4952,8.25634777291802,8.50754681436443,NA
"136",2008,845,1,2,26,1,5,4,1,0,14726.25,2,16,-1,28,-1,29452.5,4,2,26,14,NA,NA,28,16,TRUE,0,1,1,7363.125,9.59738689456033,8.90423971400038,NA
"137",1986,1281,2,1,27,11,2,1,1,0,510,2,10,11,21,-1,7644,5,3,50,12,NA,NA,21,11,FALSE,1,0,0,1528.8,6.23441072571837,7.33223839292606,NA
"138",2006,606,1,1,47,1,4,1,1,0,18476.25,4,20,16,89,55,18476.25,3,3,29,12,NA,NA,89,20,FALSE,1,1,1,6158.75,9.82424140252628,8.72562911385817,NA
"139",1977,1092,2,1,50,10,3,1,1,0,17335,1,-1,6,16,-1,17335,2,1,16,12,NA,NA,16,6,FALSE,1,0,0,8667.5,9.76048285811912,9.06733567755918,NA
"140",1987,301,1,1,32,6,3,1,1,0,32500,4,14,14,58,-1,37500,1,4,39,13,NA,NA,58,14,FALSE,1,1,0,37500,10.3889953683178,10.5320962119585,NA
"141",1974,951,1,1,73,2,1,1,NA,NA,NA,3,7,7,58,-1,4935,3,3,58,7,NA,NA,58,7,FALSE,1,1,0,1645,NA,7.40549566319947,NA
"142",1988,1085,1,1,44,1,5,1,1,0,43426,3,8,8,39,-1,43426,6,4,26,13,NA,NA,39,8,FALSE,1,1,1,7237.66666666667,10.6788136190537,8.88705414982566,NA
"143",1993,1606,1,2,30,1,1,1,1,0,NA,3,13,12,29,-1,18471,2,2,39,18,NA,3,29,13,TRUE,1,1,0,9235.5,NA,9.13081003301937,0
"144",1973,544,1,2,26,5,1,1,NA,NA,NA,3,7,7,32,-1,32761,4,3,16,12,NA,NA,32,7,TRUE,1,1,0,8190.25,NA,9.01069970141176,NA
"145",1985,514,1,2,67,1,4,3,1,0,3695,4,8,8,43,-1,17154,1,3,18,10,NA,NA,43,8,TRUE,0,1,1,17154,8.2147358333823,9.74998666155037,NA
"146",1976,434,1,1,30,3,5,1,NA,NA,4074,3,9,12,19,-1,9167,3,1,18,12,NA,NA,19,12,FALSE,1,1,1,3055.66666666667,8.31238059678675,8.02475306929367,NA
"147",1998,2654,1,1,48,2,3,1,1,0,46507,NA,14,12,51,12,46507,4,2,43,12,NA,NA,51,14,FALSE,1,1,0,11626.75,10.7473581178802,9.36106375676031,NA
"148",2010,326,2,2,46,11,6,5,1,0,14245,4,-1,12,-1,50,14245,2,2,53,13,NA,NA,50,12,TRUE,0,0,1,7122.5,9.56416124693201,8.87101406637206,NA
"149",1998,671,1,1,35,2,3,1,1,0,14641,NA,12,9,58,16,22392,5,2,54,10,NA,NA,58,12,FALSE,1,1,0,4478.4,9.59158109119348,8.40702111876119,NA
"150",1996,146,1,2,30,2,3,1,1,8,13594,NA,12,10,39,29,15406,3,2,55,13,NA,NA,39,12,TRUE,1,1,0,5135.33333333333,9.51738379790658,8.5439000342448,NA
"151",2016,235,1,1,23,2,5,1,1,0,234,4,18,16,91,55,131676.6906,5,4,91,16,NA,NA,91,18,FALSE,1,1,1,26335.33812,5.4553211153577,10.1786669710225,NA
"152",1973,463,1,1,25,1,6,1,NA,NA,NA,3,9,14,69,-1,58970,3,3,49,15,NA,NA,69,14,FALSE,1,1,1,19656.6666666667,NA,9.88617183032644,NA
"153",1980,1269,1,2,37,1,5,1,1,1,NA,4,20,18,93,-1,56647,4,4,68,16,NA,NA,93,20,TRUE,1,1,1,14161.75,NA,9.55829994718202,NA
"154",2002,1567,2,2,36,4,4,5,1,0,13296.125,2,-1,16,-1,55,13296.125,4,3,26,14,NA,NA,55,16,TRUE,0,0,1,3324.03125,9.49522791837474,8.10893355725485,NA
"155",2006,2909,1,1,29,2,3,5,1,0,6395.625,2,-1,13,-1,20,6395.625,2,2,15,12,NA,NA,20,13,FALSE,0,1,0,3197.8125,8.76336944184102,8.07022226128107,NA
"156",1974,900,1,1,28,2,6,1,NA,NA,96450,3,12,10,11,-1,94738,4,4,NA,16,NA,NA,11,12,FALSE,1,1,1,23684.5,11.4767800183339,10.0725761047276,NA
"157",1974,703,1,2,65,3,3,0,NA,NA,NA,NA,0,0,58,-1,4935,1,2,NA,8,NA,NA,58,0,TRUE,0,1,0,4935,NA,8.50410795186758,NA
"158",1996,2888,1,1,30,5,3,1,1,0,19938,NA,14,12,58,55,19938,4,3,40,13,NA,NA,58,14,FALSE,1,1,0,4984.5,9.90038273758265,8.51408837646276,NA
"159",1976,718,1,2,49,7,1,1,NA,NA,9167,2,1,0,58,-1,18335,4,3,25,4,NA,NA,58,1,TRUE,1,1,0,4583.75,9.12336535796178,8.43027271938554,NA
"160",1996,1988,1,1,31,2,5,1,1,0,NA,NA,2,9,45,16,13594,4,3,28,12,1,NA,45,9,FALSE,1,1,1,3398.5,NA,8.13108943678669,NA
"161",1994,2225,1,1,26,1,5,1,1,0,21010,NA,18,18,80,85,21010,3,3,85,16,NA,2,85,18,FALSE,1,1,1,7003.33333333333,9.95275379383905,8.85414150517094,1
"162",1991,386,2,1,68,0,1,1,1,0,NA,3,6,6,26,-1,NA,2,3,51,12,NA,NA,26,6,FALSE,1,0,0,NA,NA,NA,NA
"163",2000,1369,2,2,38,3,4,1,1,0,NA,NA,12,11,35,-1,NA,4,1,26,12,NA,NA,35,12,TRUE,1,0,1,NA,NA,NA,NA
"164",1996,2145,1,1,40,2,5,1,1,0,27188,NA,16,12,90,-1,27188,1,3,66,12,3,NA,90,16,FALSE,1,1,1,27188,10.2105309784665,10.2105309784665,NA
"165",1983,662,1,1,67,2,3,1,1,0,NA,2,3,6,18,-1,15619,2,3,59,10,NA,NA,18,6,FALSE,1,1,0,7809.5,NA,8.96309622029778,NA
"166",1982,3,1,2,27,4,5,1,1,0,NA,4,12,12,51,-1,28030,1,4,59,15,NA,NA,51,12,TRUE,1,1,1,28030,NA,10.2410306441588,NA
"167",2010,775,1,2,51,4,1,5,1,0,11007.5,3,-1,12,-1,39,11007.5,1,2,14,14,NA,NA,39,12,TRUE,0,1,0,11007.5,9.30633213762991,9.30633213762991,NA
"168",1991,1072,1,1,25,3,4,3,1,0,9401,2,8,13,29,-1,27158,2,3,33,14,NA,NA,29,13,FALSE,0,1,1,13579,9.14857134557855,9.5162797606988,NA
"169",2008,1862,1,1,41,5,2,3,1,0,12718.125,1,12,15,15,32,14726.25,3,1,29,12,NA,NA,32,15,FALSE,0,1,0,4908.75,9.45078342036845,8.49877460589222,NA
"170",1982,1052,1,2,56,0,5,1,1,0,13563,4,12,12,31,-1,NA,2,3,50,12,NA,NA,31,12,TRUE,1,1,1,NA,9.51510077596271,NA,NA
"171",1996,2338,1,2,67,1,3,5,1,0,NA,NA,-1,10,-1,48,9969,3,3,22,12,NA,NA,48,10,TRUE,0,1,0,3323,NA,8.1086232683546,NA
